Author A,Author B,S(A and B),S(A),S(B),A => B confidence,B => A confidence,Jaccard,Cosine,Kulc,IR,years
Taghi M. Khoshgoftaar,Amri Napolitano,38,50,38,0.76,1.0,0.76,0.8717797887081347,0.88,0.24,"{2013: 10, 2014: 13, 2015: 12, 2016: 2, 2018: 1}"
Huanfeng Shen,Liangpei Zhang,43,43,267,1.0,0.16104868913857678,0.16104868913857678,0.401308720486581,0.5805243445692884,0.8389513108614233,"{2013: 3, 2014: 15, 2015: 5, 2016: 13, 2017: 1, 2018: 4, 2019: 2}"
Qiangqiang Yuan,Liangpei Zhang,20,20,267,1.0,0.0749063670411985,0.0749063670411985,0.2736902757519867,0.5374531835205992,0.9250936329588015,"{2013: 3, 2014: 7, 2015: 2, 2016: 5, 2018: 2, 2019: 1}"
Tzung-Pei Hong,Jerry Chun-Wei Lin,48,50,95,0.96,0.5052631578947369,0.4948453608247423,0.6964572001056112,0.7326315789473684,0.4639175257731959,"{2013: 2, 2014: 8, 2015: 10, 2016: 14, 2017: 6, 2018: 3, 2019: 5}"
Tongliang Liu,Dacheng Tao,37,40,372,0.925,0.09946236559139784,0.09866666666666667,0.30331944905007824,0.5122311827956989,0.8853333333333333,"{2014: 3, 2015: 5, 2016: 4, 2017: 6, 2018: 10, 2019: 7, 2020: 2}"
Chao Xu,Dacheng Tao,36,36,372,1.0,0.0967741935483871,0.0967741935483871,0.3110855084191276,0.5483870967741935,0.9032258064516129,"{2013: 4, 2014: 4, 2015: 9, 2016: 4, 2017: 7, 2018: 6, 2019: 2}"
Yong Luo,Dacheng Tao,20,21,372,0.9523809523809523,0.053763440860215055,0.05361930294906166,0.2262814111007102,0.5030721966205837,0.9410187667560321,"{2013: 3, 2014: 3, 2015: 3, 2016: 2, 2017: 3, 2018: 4, 2019: 2}"
Abbas Khosravi,Saeid Nahavandi,48,48,104,1.0,0.46153846153846156,0.46153846153846156,0.6793662204867574,0.7307692307692308,0.5384615384615384,"{2013: 6, 2014: 8, 2015: 17, 2016: 4, 2017: 4, 2018: 5, 2019: 2, 2021: 2}"
Bing Xue,Mengjie Zhang,37,37,186,1.0,0.1989247311827957,0.1989247311827957,0.44600978821411047,0.5994623655913979,0.8010752688172043,"{2013: 8, 2014: 8, 2015: 2, 2016: 2, 2018: 8, 2019: 7, 2020: 2}"
Marc Modat,Sébastien Ourselin,29,30,87,0.9666666666666667,0.3333333333333333,0.32954545454545453,0.5676462121975467,0.65,0.6477272727272727,"{2013: 5, 2014: 7, 2015: 7, 2016: 2, 2018: 6, 2019: 1, 2020: 1}"
Qian Wang,Dinggang Shen,40,40,389,1.0,0.10282776349614396,0.10282776349614396,0.3206676838974329,0.5514138817480719,0.897172236503856,"{2013: 5, 2014: 5, 2015: 7, 2016: 5, 2017: 7, 2018: 6, 2019: 5}"
Zhiwei Xiong,Feng Wu,23,24,99,0.9583333333333334,0.23232323232323232,0.23,0.47185071542077545,0.5953282828282829,0.75,"{2013: 4, 2014: 2, 2015: 1, 2017: 7, 2018: 5, 2019: 3, 2021: 1}"
Pengfei Zhu,Qinghua Hu,23,26,72,0.8846153846153846,0.3194444444444444,0.30666666666666664,0.5315876880491779,0.6020299145299145,0.6133333333333333,"{2013: 2, 2015: 1, 2016: 2, 2017: 5, 2018: 6, 2019: 5, 2020: 1, 2021: 1}"
Francesca Bovolo,Lorenzo Bruzzone,36,36,68,1.0,0.5294117647058824,0.5294117647058824,0.727606875108999,0.7647058823529411,0.47058823529411764,"{2013: 5, 2014: 4, 2015: 12, 2016: 4, 2017: 4, 2018: 2, 2019: 5}"
